timestamp_utc,exchange,pair,best_bid,best_ask,last_price
2026-03-11T07:57:29.547444+00:00,indodax,USDTIDR,16894,16895,16895
2026-03-11T07:58:33.625219+00:00,indodax,USDTIDR,16894,16895,16894
2026-03-11T07:59:36.997131+00:00,indodax,USDTIDR,16894,16895,16895
2026-03-11T08:00:39.573059+00:00,indodax,USDTIDR,16894,16895,16895
2026-03-11T08:01:41.538995+00:00,indodax,USDTIDR,16894,16895,16895
2026-03-11T08:02:44.430802+00:00,indodax,USDTIDR,16894,16895,16894
2026-03-11T08:03:47.049675+00:00,indodax,USDTIDR,16894,16895,16895
2026-03-11T08:04:49.542227+00:00,indodax,USDTIDR,16894,16895,16894
2026-03-11T08:05:52.698884+00:00,indodax,USDTIDR,16894,16895,16895
2026-03-11T08:06:55.782182+00:00,indodax,USDTIDR,16890,16893,16879
2026-03-11T08:07:58.356517+00:00,indodax,USDTIDR,16884,16890,16890
2026-03-11T08:09:01.205795+00:00,indodax,USDTIDR,16884,16890,16884
2026-03-11T08:10:04.389712+00:00,indodax,USDTIDR,16884,16888,16888
2026-03-11T08:11:06.562818+00:00,indodax,USDTIDR,16884,16888,16888
2026-03-11T08:12:09.099272+00:00,indodax,USDTIDR,16883,16891,16891
2026-03-11T08:13:11.455235+00:00,indodax,USDTIDR,16884,16890,16890
2026-03-11T08:14:13.677358+00:00,indodax,USDTIDR,16884,16891,16884
2026-03-11T08:15:16.005135+00:00,indodax,USDTIDR,16890,16891,16891
2026-03-11T08:16:18.233549+00:00,indodax,USDTIDR,16890,16891,16890
2026-03-11T08:17:20.538945+00:00,indodax,USDTIDR,16890,16891,16891
2026-03-11T08:18:23.229048+00:00,indodax,USDTIDR,16885,16890,16885
2026-03-11T08:19:25.447370+00:00,indodax,USDTIDR,16888,16889,16889
2026-03-11T08:20:28.304953+00:00,indodax,USDTIDR,16884,16890,16890
2026-03-11T08:21:30.559263+00:00,indodax,USDTIDR,16885,16890,16885
2026-03-11T08:22:32.350847+00:00,indodax,USDTIDR,16886,16890,16886
2026-03-11T08:23:36.411312+00:00,indodax,USDTIDR,16887,16890,16890
2026-03-11T08:24:38.407511+00:00,indodax,USDTIDR,16886,16890,16890
2026-03-11T08:25:40.530767+00:00,indodax,USDTIDR,16886,16887,16887
2026-03-11T08:26:42.625054+00:00,indodax,USDTIDR,16886,16891,16888
2026-03-11T08:27:44.864166+00:00,indodax,USDTIDR,16897,16900,16900
2026-03-11T08:28:46.921109+00:00,indodax,USDTIDR,16901,16902,16902
2026-03-11T08:29:49.883795+00:00,indodax,USDTIDR,16904,16906,16908
2026-03-11T08:30:52.186995+00:00,indodax,USDTIDR,16904,16909,16909
2026-03-11T08:31:55.284096+00:00,indodax,USDTIDR,16903,16904,16904
2026-03-11T08:32:57.383216+00:00,indodax,USDTIDR,16903,16909,16903
2026-03-11T08:33:59.796392+00:00,indodax,USDTIDR,16908,16909,16908
2026-03-11T08:35:02.514476+00:00,indodax,USDTIDR,16903,16906,16905
2026-03-11T08:36:04.429789+00:00,indodax,USDTIDR,16901,16908,16908
2026-03-11T08:37:06.778225+00:00,indodax,USDTIDR,16908,16909,16908
2026-03-11T08:38:09.285573+00:00,indodax,USDTIDR,16908,16909,16909
2026-03-11T08:39:11.819868+00:00,indodax,USDTIDR,16908,16909,16909
2026-03-11T08:40:15.224727+00:00,indodax,USDTIDR,16908,16909,16909
2026-03-11T08:41:17.026175+00:00,indodax,USDTIDR,16911,16913,16912
2026-03-11T08:42:19.728988+00:00,indodax,USDTIDR,16914,16915,16914
2026-03-11T08:43:22.303354+00:00,indodax,USDTIDR,16914,16915,16915
2026-03-11T08:44:24.759696+00:00,indodax,USDTIDR,16914,16916,16914
2026-03-11T08:45:26.951099+00:00,indodax,USDTIDR,16915,16916,16915
2026-03-11T08:46:29.190407+00:00,indodax,USDTIDR,16915,16920,16920
2026-03-11T08:47:31.381482+00:00,indodax,USDTIDR,16916,16917,16917
2026-03-11T08:48:33.592775+00:00,indodax,USDTIDR,16925,16926,16925
2026-03-11T08:49:35.565136+00:00,indodax,USDTIDR,16915,16925,16925
2026-03-11T08:50:37.846726+00:00,indodax,USDTIDR,16915,16926,16915
2026-03-11T08:51:39.756527+00:00,indodax,USDTIDR,16915,16926,16926
2026-03-11T08:52:41.656856+00:00,indodax,USDTIDR,16915,16926,16926
