timestamp_utc,exchange,pair,best_bid,best_ask,last_price
2026-03-13T03:02:53.812113+00:00,indodax,BTCIDR,1200334000,1201710000,1200334000
2026-03-13T03:03:55.639949+00:00,indodax,BTCIDR,1200336000,1201710000,1201710000
2026-03-13T03:04:57.647278+00:00,indodax,BTCIDR,1200329000,1201000000,1201000000
2026-03-13T03:06:00.257759+00:00,indodax,BTCIDR,1200332000,1200829000,1200332000
2026-03-13T03:07:02.325352+00:00,indodax,BTCIDR,1200329000,1200828000,1200332000
2026-03-13T03:08:05.625874+00:00,indodax,BTCIDR,1200832000,1201510000,1201510000
2026-03-13T03:09:07.753124+00:00,indodax,BTCIDR,1200833000,1201526000,1200831000
2026-03-13T03:10:09.613466+00:00,indodax,BTCIDR,1200833000,1201526000,1200832000
2026-03-13T03:11:11.814244+00:00,indodax,BTCIDR,1200841000,1201526000,1201526000
2026-03-13T03:12:14.143992+00:00,indodax,BTCIDR,1200843000,1201526000,1200841000
2026-03-13T03:13:16.960345+00:00,indodax,BTCIDR,1200835000,1201526000,1201526000
2026-03-13T03:14:18.664044+00:00,indodax,BTCIDR,1200837000,1201526000,1201526000
2026-03-13T03:15:20.616835+00:00,indodax,BTCIDR,1200833000,1201526000,1201526000
2026-03-13T03:16:23.268827+00:00,indodax,BTCIDR,1200833000,1201525000,1200833000
2026-03-13T03:17:25.630448+00:00,indodax,BTCIDR,1200839000,1201525000,1201526000
2026-03-13T03:18:28.377484+00:00,indodax,BTCIDR,1200839000,1201520000,1200839000
2026-03-13T03:19:31.007387+00:00,indodax,BTCIDR,1200836000,1201520000,1201520000
2026-03-13T03:20:33.167136+00:00,indodax,BTCIDR,1200834000,1201520000,1200835000
2026-03-13T03:21:35.268182+00:00,indodax,BTCIDR,1200999000,1201000000,1201000000
2026-03-13T03:22:37.362119+00:00,indodax,BTCIDR,1200999000,1201000000,1201000000
2026-03-13T03:23:39.406154+00:00,indodax,BTCIDR,1200999000,1201000000,1201000000
2026-03-13T03:24:41.616917+00:00,indodax,BTCIDR,1200834000,1201520000,1201520000
2026-03-13T03:25:43.863005+00:00,indodax,BTCIDR,1201001000,1201520000,1201520000
2026-03-13T03:26:46.353807+00:00,indodax,BTCIDR,1200836000,1201520000,1200835000
2026-03-13T03:27:48.509586+00:00,indodax,BTCIDR,1200836000,1201519000,1201519000
2026-03-13T03:28:50.993837+00:00,indodax,BTCIDR,1200836000,1200988000,1200984000
2026-03-13T03:29:53.249420+00:00,indodax,BTCIDR,1200831000,1200833000,1200831000
2026-03-13T03:30:55.573132+00:00,indodax,BTCIDR,1200831000,1200832000,1200831000
2026-03-13T03:31:57.957101+00:00,indodax,BTCIDR,1200329000,1200449000,1200449000
2026-03-13T03:33:00.343063+00:00,indodax,BTCIDR,1200327000,1200328000,1200328000
2026-03-13T03:34:02.655107+00:00,indodax,BTCIDR,1200327000,1200328000,1200327000
2026-03-13T03:35:04.825532+00:00,indodax,BTCIDR,1200325000,1200328000,1200325000
2026-03-13T03:36:07.271375+00:00,indodax,BTCIDR,1200324000,1200327000,1200327000
